date,month,confirmed,cured
1,二月,13779,328
2,二月,16402,475
3,二月,19414,632
4,二月,22980,892
5,二月,26343,1153
6,二月,29032,1542
7,二月,31825,2050
8,二月,33788,2651
9,二月,36043,3283
10,二月,37693,3998
11,二月,38874,4742
12,二月,52599,5915
13,二月,55823,6728
14,二月,56951,8101
15,二月,57493,9425
16,二月,58010,10853
17,二月,58097,12561
18,二月,57886,14387
19,二月,56810,16170
20,二月,55475,18279
21,二月,53371,20673
22,二月,51689,22907
23,二月,49910,24757
24,二月,47760,27353
25,二月,45697,29775
26,二月,43352,32531
27,二月,40011,36157
28,二月,37502,39049
29,二月,35420,41675
1,三月,32741,44518
2,三月,30096,47260
3,三月,27524,49914
4,三月,25441,52109
5,三月,23872,53793
6,三月,22263,55477
7,三月,20616,57143
8,三月,19097,58684
9,三月,17802,59982
10,三月,16226,61567
11,三月,14920,62887
12,三月,13607,64216
13,三月,12178,65649
14,三月,10822,67022
15,三月,9996,67863
16,三月,9086,68799
17,三月,8184,69725
18,三月,7438,70547
19,三月,6763,71284
20,三月,6279,71876
21,三月,5849,72382
22,三月,5483,72841
23,三月,5165,73299
24,三月,4768,73791
25,三月,4471,74196
26,三月,4043,74737
27,三月,3790,75122
28,三月,3435,75600
29,三月,3199,75937
30,三月,3006,76225
31,三月,2895,76415
1,四月,2787,76610
2,四月,2686,76785
3,四月,2556,76984
4,四月,2382,77210
5,四月,2317,77348
6,四月,2281,77450
7,四月,2229,77586
8,四月,2194,77711
9,四月,2122,77838
10,四月,2085,77935
11,四月,2113,78020
12,四月,2101,78145
13,四月,2083,78262
14,四月,2004,78389
15,四月,1941,78504
16,四月,1872,78600
17,四月,1794,77744
18,四月,1734,77825
19,四月,1700,77895
20,四月,1630,77978
21,四月,1603,78042
22,四月,1513,78147
23,四月,1433,78236
24,四月,1320,78362
25,四月,1246,78450
26,四月,1140,78558
27,四月,1040,78664
28,四月,997,78729
29,四月,945,78785
30,四月,897,78845
1,五月,840,78905
2,五月,811,78939
3,五月,741,79016
4,五月,635,79126
5,五月,559,79204
6,五月,498,79268
7,五月,448,79324
8,五月,372,79401
9,五月,299,79488
10,五月,274,79533
11,五月,241,79566
12,五月,220,79594
13,五月,199,79621
14,五月,181,79644
15,五月,166,79668
16,五月,157,79682
17,五月,148,79701
18,五月,147,79708
19,五月,145,79715
20,五月,140,79722
21,五月,139,79736
22,五月,137,79740
23,五月,134,79746
24,五月,134,79757
25,五月,131,79767
26,五月,125,79774
27,五月,116,79786
28,五月,111,79791
29,五月,118,79802
30,五月,118,79802
31,五月,118,79809
