date,现有疑似,现有确诊,累计治愈,累计死亡
2-1,19544,13779,328,304
2-4,23260,22980,892,491
2-11,16067,33874,4742,1114
2-18,5248,57886,14387,2006
2-25,2491,45697,29775,2718
3-1,715,32741,44518,2915
3-4,522,25441,52109,3015
3-11,253,14920,62887,3173
3-18,105,7438,70547,3250
3-25,159,4471,74196,3293
4-1,153,2787,76610,3327
4-8,73,2194,77711,3344
4-15,63,1941,78504,3352
4-22,20,1513,78147,4642
4-29,10,945,78785,4643
5-6,4,498,79268,4643
5-13,4,199,79621,4644
5-20,7,140,79722,4645
5-27,5,116,79786,4645
5-31,4,119,79806,4645
